                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7031,                  2.732,                 1.9785,                0.45881,                0.67292,                0.63042,                0.37503,                 1.5995,                 1.6401,                 2.0736,                 0.0874,                 0.0014,                 0.0014
                      1,                 1.2848,                 1.5442,                 1.5089,                0.64273,                0.83884,                0.76489,                0.49708,                  1.151,                 1.0737,                 1.5994,               0.073871,              0.0028713,              0.0028713
                      2,                 1.1889,                  1.274,                 1.4313,                 0.8753,                0.89184,                0.96592,                0.66804,                  1.028,                0.75301,                 1.4437,               0.060313,              0.0043129,              0.0043129
                      3,                  1.051,                 1.0592,                  1.327,                0.93192,                0.73075,                0.94032,                0.68854,                0.91966,                0.94321,                 1.3346,               0.046725,              0.0057248,              0.0057248
                      4,                 1.0935,                   1.05,                 1.3332,                0.90112,                0.97449,                0.98589,                0.73174,                0.95485,                0.97913,                 1.3762,               0.033107,               0.007107,               0.007107
                      5,                 1.0622,                0.95271,                 1.3402,                0.92575,                0.94468,                0.97461,                0.72891,                0.93125,                0.66352,                 1.3363,               0.019459,              0.0084594,              0.0084594
                      6,                 1.0671,                0.89896,                  1.356,                0.92284,                0.93385,                0.96762,                0.65985,                 1.0867,                 0.6209,                 1.5492,               0.009406,               0.009406,               0.009406
                      7,                 1.0697,                0.83872,                 1.3324,                 0.8975,                0.93333,                0.96935,                0.70592,                0.94271,                 1.4746,                 1.3134,               0.009406,               0.009406,               0.009406
                      8,                 1.1292,                 0.9789,                 1.3686,                0.94227,                0.93421,                0.96794,                0.67512,                 1.0331,                0.76857,                  1.371,               0.009307,               0.009307,               0.009307
                      9,                 1.0863,                0.83814,                 1.2878,                0.81828,                0.81415,                0.89597,                0.59362,                 1.1639,                0.98681,                 1.5654,               0.009208,               0.009208,               0.009208
                     10,                 1.0649,                0.84066,                 1.3486,                0.93851,                0.95929,                0.97956,                0.68254,                 1.0843,                0.75849,                 1.5248,               0.009109,               0.009109,               0.009109
                     11,                  1.115,                0.86015,                  1.361,                0.95016,                0.90287,                0.95796,                0.63289,                  1.149,                0.77595,                 1.5256,                0.00901,                0.00901,                0.00901
                     12,                 1.0912,                0.86581,                 1.3967,                0.69064,                0.78381,                0.77841,                0.43256,                 1.4699,                 1.1983,                 1.9197,               0.008911,               0.008911,               0.008911
                     13,                 1.0639,                0.81127,                 1.3463,                0.94317,                0.92803,                0.96609,                0.71265,                0.94402,                0.55578,                 1.2721,               0.008812,               0.008812,               0.008812
                     14,                 1.0895,                0.88369,                 1.3246,                0.97893,                0.96771,                0.98935,                0.74782,                0.86513,                0.49414,                 1.2588,               0.008713,               0.008713,               0.008713
                     15,                  1.049,                0.80041,                  1.318,                0.79763,                0.91354,                0.92676,                0.68606,                0.99076,                0.88689,                 1.2661,               0.008614,               0.008614,               0.008614
                     16,                 1.0222,                0.74829,                 1.2393,                0.96777,                0.94479,                0.98383,                0.76959,                0.80615,                0.44503,                  1.174,               0.008515,               0.008515,               0.008515
                     17,                 1.0484,                0.75876,                 1.3054,                0.96364,                0.99167,                0.99087,                0.74795,                0.93525,                0.50024,                 1.2464,               0.008416,               0.008416,               0.008416
                     18,                  1.022,                0.76622,                 1.2752,                0.98864,                0.98385,                 0.9939,                0.76824,                0.85045,                0.42805,                 1.2371,               0.008317,               0.008317,               0.008317
                     19,                0.98173,                0.76025,                  1.301,                0.98279,                 0.9947,                0.99477,                0.79078,                0.84654,                0.42015,                 1.2277,               0.008218,               0.008218,               0.008218
                     20,                0.94992,                0.67654,                 1.2369,                  0.996,                0.97374,                0.99469,                0.80335,                0.79709,                0.43327,                 1.2227,               0.008119,               0.008119,               0.008119
                     21,                 1.0123,                0.74492,                 1.2716,                 0.9735,                 0.9967,                0.99461,                0.78933,                 0.7915,                0.41728,                 1.1945,                0.00802,                0.00802,                0.00802
                     22,                0.96862,                0.71675,                 1.2438,                0.98823,                0.98333,                0.99347,                0.79434,                0.80312,                0.42261,                 1.1828,               0.007921,               0.007921,               0.007921
                     23,                0.91384,                0.68146,                 1.2295,                0.98852,                0.96754,                 0.9901,                0.75589,                0.86163,                0.50979,                 1.2649,               0.007822,               0.007822,               0.007822
                     24,                0.97165,                0.74176,                   1.28,                0.98813,                0.98333,                0.99445,                0.76192,                0.89463,                 0.4889,                 1.2741,               0.007723,               0.007723,               0.007723
                     25,                0.96383,                0.72691,                 1.2392,                0.96667,                      1,                0.99428,                0.81733,                0.74246,                0.37861,                 1.0938,               0.007624,               0.007624,               0.007624
                     26,                0.95158,                 0.6802,                 1.2147,                0.99109,                0.98333,                0.99438,                 0.8308,                0.71211,                0.39361,                 1.0666,               0.007525,               0.007525,               0.007525
                     27,                0.95385,                0.69475,                 1.2398,                0.98197,                0.96996,                0.99271,                0.83119,                0.67992,                0.36375,                 1.0584,               0.007426,               0.007426,               0.007426
                     28,                0.91305,                0.68519,                 1.2158,                0.99178,                0.98671,                0.99364,                0.83147,                0.67338,                0.36736,                 1.1043,               0.007327,               0.007327,               0.007327
                     29,                0.94921,                0.64682,                 1.2273,                0.99762,                0.99855,                  0.995,                 0.8254,                0.73147,                0.35491,                 1.1212,               0.007228,               0.007228,               0.007228
                     30,                0.94234,                0.65667,                 1.2268,                0.99087,                 0.9932,                0.99492,                0.80952,                0.76255,                0.36442,                 1.1297,               0.007129,               0.007129,               0.007129
                     31,                 0.9256,                0.62199,                 1.2206,                0.99003,                 0.9985,                0.99492,                0.83568,                0.69718,                0.36731,                 1.0639,                0.00703,                0.00703,                0.00703
                     32,                0.91729,                0.62407,                 1.2213,                0.99839,                0.99973,                  0.995,                0.83213,                0.69342,                0.35536,                 1.1018,               0.006931,               0.006931,               0.006931
                     33,                0.86647,                0.59753,                 1.1917,                0.99041,                      1,                0.99492,                0.80174,                0.80259,                0.35592,                 1.1613,               0.006832,               0.006832,               0.006832
                     34,                0.90224,                 0.5965,                 1.1946,                0.99694,                0.99023,                0.99492,                0.84191,                0.65424,                0.33707,                 1.0727,               0.006733,               0.006733,               0.006733
                     35,                0.87677,                0.61734,                 1.2345,                0.96038,                0.98292,                0.98879,                0.83548,                0.67317,                0.37502,                 1.0782,               0.006634,               0.006634,               0.006634
                     36,                0.88296,                0.62974,                 1.2046,                0.96333,                      1,                0.99383,                0.83332,                0.68365,                0.35775,                 1.0654,               0.006535,               0.006535,               0.006535
                     37,                0.90765,                0.64072,                 1.2031,                0.99801,                      1,                  0.995,                0.84435,                0.65499,                0.31985,                 1.0333,               0.006436,               0.006436,               0.006436
                     38,                0.91072,                 0.6451,                 1.2273,                  0.987,                      1,                0.99492,                0.84361,                0.67047,                0.32831,                 1.0642,               0.006337,               0.006337,               0.006337
                     39,                0.91863,                0.69455,                 1.2609,                0.99881,                      1,                  0.995,                 0.8504,                0.68261,                0.31357,                   1.04,               0.006238,               0.006238,               0.006238
                     40,                0.85044,                0.60031,                  1.195,                 0.9976,                      1,                  0.995,                 0.8571,                0.65084,                0.31404,                 1.0104,               0.006139,               0.006139,               0.006139
                     41,                 0.9228,                0.60649,                 1.1657,                0.99761,                      1,                  0.995,                0.86425,                0.64191,                0.29073,                 1.0096,                0.00604,                0.00604,                0.00604
                     42,                0.85992,                0.60498,                  1.144,                0.99527,                      1,                  0.995,                0.87524,                0.58982,                0.29027,                0.99444,               0.005941,               0.005941,               0.005941
                     43,                0.94691,                0.69462,                 1.2984,                0.99648,                      1,                  0.995,                0.85727,                0.61161,                 0.3099,                 1.0185,               0.005842,               0.005842,               0.005842
                     44,                 0.8481,                0.59726,                 1.1562,                0.99742,                      1,                  0.995,                0.87181,                0.57967,                0.29767,                0.98491,               0.005743,               0.005743,               0.005743
                     45,                0.89302,                0.59408,                 1.2039,                0.98477,                0.99219,                0.99485,                0.86547,                0.58647,                0.32309,                0.99204,               0.005644,               0.005644,               0.005644
                     46,                0.80909,                 0.5409,                 1.1476,                0.99615,                      1,                  0.995,                0.86029,                0.58837,                 0.3085,                  1.026,               0.005545,               0.005545,               0.005545
                     47,                0.78924,                0.55247,                 1.1585,                0.99836,                      1,                  0.995,                0.86933,                0.57869,                0.29697,                 1.0334,               0.005446,               0.005446,               0.005446
